"Dato";"Forklaring";"Rentedato";"Uttak";"Innskudd"
"09.10.2019";"Varekj¯p Rema Gr¯nnland Chr Krogh Oslo Dato 09.10 kl. 17.09";"09.10.2019";"161,70";""
"09.10.2019";"Varekj¯p Dattera Til Hagen Oslo Dato 09.10 kl. 20.14";"09.10.2019";"72,00";""
"10.10.2019";"Varekj¯p Ikea Furuset Str¯msvn 310 Oslo Dato 10.10 kl. 14.57";"10.10.2019";"1.968,00";""
"10.10.2019";"Varekj¯p Kiwi 112 Nydalen 73 Oslo Dato 10.10 kl. 16.29";"10.10.2019";"272,86";""
"10.10.2019";"Varekj¯p Clas Ohl 2852 Vitaminveien Oslo Dato 10.10 kl. 17.43";"10.10.2019";"499,00";""
"09.10.2019";"Varekj¯p Tanum Bokhandel Storo Stors Oslo Dato 10.10 kl. 15.30";"09.10.2019";"299,00";""
